frame,r_hip_ang,r_knee_ang,r_ankle_ang,r_elbow_ang,r_shoulder_ang,gender,r_hip_vel,r_knee_vel,r_ankle_vel,r_elbow_vel,r_shoulder_vel,r_hip_accel,r_knee_accel,r_ankle_accel,r_elbow_accel,r_shoulder_accel
1,170.0652723407157,177.37372729269262,121.04467877923972,151.04338143973467,11.87834759094244,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,168.22940229037243,175.95702193179147,122.71861237942234,152.20159993133316,11.391627921764211,male,-27.5380507551489,-21.250580413517213,25.10900400273933,17.373277373977345,-7.300795037673424,-413.0707613272335,-318.7587062027582,376.6350600410899,260.5991606096602,-109.51192556510136
3,167.5512776358202,175.6096834852832,122.6849815207256,152.2765523192621,11.613830883182516,male,-6.781246545522208,-3.473384465082745,-0.3363085869673909,0.7495238792893133,2.222029614183043,-67.81246545522208,-34.73384465082745,-3.3630858696739097,7.495238792893133,22.22029614183043
4,166.788483940743,175.16559369373672,122.47119229084848,152.0653245959781,11.932534786713234,male,-5.720952713079157,-3.330673436598559,-1.603419224078415,-1.584207924629979,2.390279276480385,-42.90714534809368,-24.980050774489197,-12.025644180588111,-11.881559434724842,17.927094573602886
5,166.73928655433556,175.55769377056473,122.8561716688831,151.48740415911624,11.91077768368001,male,-0.2951843184445692,2.352600460968006,2.3098762682077734,-3.467522621171156,-0.1305426181993425,-1.7711059106674156,14.115602765808037,13.85925760924664,-20.805135727026936,-0.7832557091960552
6,166.73928655433556,175.55769377056473,123.50925589598204,152.03427526265864,11.363906580137666,male,0.0,0.0,3.2654211354946483,2.734355517712004,-2.73435551771172,0.0,0.0,16.32710567747324,13.67177758856002,-13.671777588558598
7,165.99620518015132,175.14926408104333,123.47132674786636,151.4607432956147,11.660629116684788,male,-3.184634460789612,-1.7504129550917062,-0.1625534919243421,-2.457994144474063,1.271668013773381,-13.64843340338405,-7.501769807535884,-0.6966578225328947,-10.534260619174557,5.45000577331449
8,164.24595669213537,174.76862038185,123.63539599723558,152.00893514063583,11.973512992254255,male,-6.563431830059834,-1.4274138719749274,0.6152596851345749,2.0557194188292627,1.173314533385501,-24.61286936272438,-5.352802019905978,2.307223819254656,7.708947820609735,4.399929500195629
9,163.80323987785144,174.32590356756612,122.96279767963426,150.89166361751273,12.521704837275363,male,-1.4757227142797549,-1.47572271427966,-2.241994392004377,-3.724238410410313,1.827306150070361,-4.919075714265849,-4.919075714265534,-7.47331464001459,-12.414128034701044,6.091020500234538
10,163.33665919258652,175.45258513221555,120.81042296544418,149.78022444405897,13.362741785927652,male,-1.3997420557947464,3.3800446939482924,-6.457124142570265,-3.3343175203612816,2.5231108459568645,-4.199226167384239,10.140134081844876,-19.3713724277108,-10.002952561083845,7.569332537870594
11,165.06765919792423,179.40149737696433,117.94467086401654,150.34479251397033,13.362741785927652,male,4.720909105466469,10.769760667496682,-7.815687549348086,1.539731099758254,0.0,12.87520665127219,29.372074547718224,-21.31551149822205,4.19926663570433,0.0
12,165.56093826506796,177.67699027500876,115.00467559162074,148.62281146478267,15.440095800386302,male,1.2331976678593293,-4.311267754888917,-7.349988180989513,-4.304952622969154,5.193385036146627,3.082994169648323,-10.778169387222292,-18.374970452473782,-10.762381557422884,12.983462590366567
13,168.12717086336878,172.6364892168835,113.1603751351711,147.22789502086098,16.941404426836357,male,5.922075226848033,-11.631925518750627,-4.256077976422257,-3.219037947511586,3.4645583687308945,13.666327446572383,-26.842905043270683,-9.821718407128284,-7.428549109642121,7.995134697071295
14,169.67370715667312,167.382404051792,112.1195616581783,145.60075045806263,19.69945126709922,male,3.314006342795019,-11.258753925196032,-2.23031459355599,-3.4867383488536063,5.910100371991852,7.101442163132184,-24.12590126827721,-4.779245557619978,-7.471582176114871,12.664500797125395
15,174.47245984834382,161.13641244437588,114.54527217318127,143.4353417890969,21.31994368051346,male,9.5975053833414,-12.49198321483226,4.851421030005952,-4.330817337931478,3.2409848268284804,19.1950107666828,-24.98396642966452,9.702842060011903,-8.661634675862956,6.481969653656961
16,179.78308894510943,155.0398809898186,114.11389708570157,143.32121256528035,22.411957381925845,male,9.957429556435518,-11.430996477294872,-0.8088282890244525,-0.2139922946560268,2.04752569014822,18.670180418316598,-21.433118394927885,-1.5165530419208484,-0.4012355524800504,3.839110669027912
17,171.54353761486846,144.18251166269857,110.16973706546555,141.7722142837649,24.32628514483065,male,-14.540384700425244,-19.160063518447128,-6.960282388651787,-2.733526379144916,3.3782254639496547,-25.65950241251513,-33.81187679725964,-12.282851274091389,-4.823870080843968,5.96157434814645
18,170.87571059033723,144.13289411162322,106.23639795236689,140.06548969255195,27.601250574567416,male,-1.1130450408853676,-0.0826959184589289,-6.555565188497781,-2.844540985354911,5.458275716227945,-1.8550750681422796,-0.1378265307648816,-10.925941980829634,-4.740901642258185,9.097126193713242
19,168.8391027783472,146.2853288128323,122.419976564917,139.44446874743085,30.459528702200657,male,-3.2156965452474062,3.3985811071722227,25.553018861921224,-0.9805593870333204,4.51307072784196,-5.077415597759063,5.366180695535089,40.34687188724404,-1.5482516637368218,7.125901149224148
20,165.84426892610816,150.17227150761457,125.96051719664489,137.91416533557307,32.68600992562938,male,-4.492250778358581,5.830414042173416,5.31081094759184,-2.295455117786659,3.339721835143081,-6.738376167537872,8.745621063260124,7.966216421387759,-3.4431826766799887,5.009582752714621
