frame,r_hip_ang,r_knee_ang,r_ankle_ang,r_elbow_ang,r_shoulder_ang,gender,r_hip_vel,r_knee_vel,r_ankle_vel,r_elbow_vel,r_shoulder_vel,r_hip_accel,r_knee_accel,r_ankle_accel,r_elbow_accel,r_shoulder_accel
1,159.42542874720178,172.83570858846437,130.46904841819364,139.9893625696422,21.603596924523856,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,160.36796087644086,172.62829446594924,127.54389121812036,139.9893625696422,21.966589420058995,male,14.13798193858625,-3.111211837726984,-43.87735800109908,0.0,5.444887433027077,212.06972907879376,-46.66817756590476,-658.1603700164862,0.0,81.67331149540615
3,163.75122534841924,164.50012837939036,118.07199757548884,143.80549572760313,20.118445474809107,male,33.83264471978379,-81.28166086558878,-94.71893642631528,38.16133157960934,-18.48143945249888,338.32644719783787,-812.8166086558878,-947.1893642631528,381.6133157960934,-184.8143945249888
4,167.97314497642378,160.34947126485747,116.82624024002402,147.00677961905376,19.06984705416073,male,31.664397210034068,-31.12992835899668,-9.34318001598612,24.00962918587972,-7.864488154862839,237.4829790752555,-233.4744626924751,-70.07385011989591,180.0722188940979,-58.98366116147129
5,173.45444316008923,161.88146729078431,109.95518925857829,148.78828801025864,17.85446852386235,male,32.88778910199267,9.191976155561065,-41.2263058886744,10.689050347229283,-7.292271181790262,197.326734611956,55.15185693336639,-247.3578353320464,64.1343020833757,-43.75362709074157
6,173.50050189498262,161.93217495905324,105.13647769472531,150.10673451404526,16.531373086700114,male,0.2302936744669637,0.2535383413446368,-24.09355781926486,6.592232518933088,-6.615477185811187,1.1514683723348185,1.267691706723184,-120.4677890963243,32.96116259466544,-33.077385929055936
7,179.43858132118982,162.1098065386911,107.36406908696712,150.10673451404526,17.261275368000724,male,25.448911826602263,0.7612781984479153,9.54682025246488,0.0,3.128152634145473,109.06676497115257,3.2626208504910656,40.914943939135206,0.0,13.406368432052028
8,179.01003925466512,162.62134838906564,114.2584121015626,150.96543990203384,17.481042598171825,male,-1.6070327494676206,1.9182819389045849,25.85378630473304,3.22014520495717,0.8241271131416283,-6.026372810503577,7.193557270892192,96.95169864274892,12.075544518589387,3.0904766742811063
9,174.89846912216208,168.50375006212982,113.73960269279878,149.5215262975588,18.003289698031665,male,-13.705233775010113,19.6080055768806,-1.729364695879383,-4.813045348250095,1.7408236661994656,-45.68411258336704,65.360018589602,-5.76454898626461,-16.043484494166986,5.802745553998219
10,172.76971682442718,176.5700688044396,122.22970663790012,150.36430345615497,15.92615824771923,male,-6.386256893204717,24.198956226929283,25.470311835304017,2.528331475788491,-6.231394350937308,-19.15877067961415,72.59686868078785,76.41093550591205,7.584994427365473,-18.694183052811923
