frame,r_hip_ang,r_knee_ang,r_ankle_ang,r_elbow_ang,r_shoulder_ang,gender,r_hip_vel,r_knee_vel,r_ankle_vel,r_elbow_vel,r_shoulder_vel,r_hip_accel,r_knee_accel,r_ankle_accel,r_elbow_accel,r_shoulder_accel
1,178.17426274048256,179.4065319073663,109.010766416167,158.68037075698757,1.2404129766271634,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,178.34738990557506,178.34830581745277,107.3705276686444,159.33787161509207,1.5307287537801084,female,2.596907476387429,-15.873391348702768,-24.603581212839032,9.862512871567477,4.354736657294175,38.95361214581144,-238.10087023054152,-369.0537181925855,147.93769307351212,65.32104985941262
3,178.53119928561418,177.27368900609372,105.70863782901574,159.99467942459742,1.820441964105996,female,1.8380938003912208,-10.7461681135905,-16.618898396286568,6.568078095053522,2.897132103258875,18.38093800391221,-107.461681135905,-166.18898396286568,65.68078095053522,28.971321032588747
4,177.2517442448185,177.8450282560204,104.58086903442135,159.32675370391368,1.0866445167260128,female,-9.595912805967616,4.285044374450209,-8.458265959457911,-5.009442905128054,-5.503480855349873,-71.96934604475712,32.137832808376565,-63.43699469593434,-37.57082178846041,-41.27610641512405
5,175.9542039506777,178.41578956923345,104.60607171578752,160.65248956376337,1.0831307969174466,female,-7.785241764844727,3.424567879278243,0.1512160881970032,7.954415159098119,-0.0210823188513971,-46.71145058906836,20.547407275669457,0.9072965291820196,47.72649095458871,-0.1264939131083826
6,175.60691810030238,177.8817299074706,103.71802674635506,161.26813053005463,1.351485912833378,female,-1.736429251876643,-2.6702983088142678,-4.440224847162284,3.0782048314563326,1.341775579579657,-8.682146259383217,-13.351491544071337,-22.20112423581142,15.391024157281665,6.708877897898285
7,174.67203697193202,178.3968767455146,104.82077164009706,162.2509132444301,1.0164662579209582,female,-4.00663340730156,2.207772163045669,4.726049544608567,4.2119259187520335,-1.4357985210532278,-17.171286031292397,9.461880698767152,20.25449804832243,18.051111080365857,-6.153422233085262
8,174.31950772154732,177.84294820649183,105.40081031864916,164.4909039673577,1.317359063251484,female,-1.3219846889425924,-2.0772320213353623,2.1751450445703746,8.39996521097845,1.1283480199894715,-4.957442583534721,-7.789620080007609,8.156793917138906,31.49986954116919,4.231305074960519
9,174.88566474056913,176.76489666679507,104.48385763878704,166.7209078440793,2.0106810894709093,female,1.887190063406005,-3.5935051323225293,-3.056508932873736,7.433346255738703,2.3110734207314176,6.290633544686684,-11.9783504410751,-10.18836310957912,24.777820852462344,7.703578069104726
10,173.96702536323838,177.82780528212066,105.02168745149108,166.7209078440793,1.6171205147617067,female,-2.755918131992246,3.1887258459767907,1.6134894381120972,0.0,-1.1806817241276075,-8.267754395976738,9.566177537930372,4.840468314336292,0.0,-3.5420451723828235
11,173.6146276621748,177.23416526534828,105.52819010800914,168.27277133933237,1.2498600956105064,female,-0.9610846392643102,-1.6190182275610452,1.381370881412907,4.232354987053798,-1.0016193249578191,-2.621139925266301,-4.415504256984669,3.7673751311261103,11.54278632832854,-2.73168906806678
12,173.2328989773575,176.75290660228987,104.64935211966984,167.86499299668796,0.3974563426340864,female,-0.9543217120432246,-1.2031466576460303,-2.197094970848248,-1.0194458566110145,-2.1310093824410496,-2.385804280108061,-3.007866644115076,-5.49273742712062,-2.548614641527536,-5.327523456102624
13,172.8513139346904,176.28190910991583,104.16321170292464,168.04567347392523,1.4419233716812982,female,-0.8805808676933023,-1.086917290093936,-1.1218625001812326,0.416954947470633,2.410308528570489,-2.0321096946768518,-2.508270669447545,-2.5889134619566905,0.96220372493223,5.562250450547282
14,172.31138036011745,177.35312552519588,104.69449454363176,167.67592365870544,2.833255861800069,female,-1.1570005169420483,2.2954637470286747,1.1384632300866877,-0.7923210326138376,2.981426764540223,-2.479286822018675,4.918850886490017,2.4395640644714733,-1.697830784172509,6.388771638300478
15,172.29081844479236,177.4179997128253,103.31980369232248,168.31440393627622,3.5061752113001603,female,-0.0411238306501786,0.1297483752588277,-2.749381702618564,1.2769605551415566,1.3458386990001827,-0.0822476613003573,0.2594967505176555,-5.498763405237128,2.553921110283113,2.691677398000365
16,172.29081844479236,177.4179997128253,102.98102993433076,169.6354149691111,4.179652871457563,female,0.0,0.0,-0.6352007962344697,2.476895686565417,1.26277061279513,0.0,0.0,-1.1910014929396306,4.644179412310157,2.3676948989908686
17,172.85537076522127,176.36222347228005,102.45459041968566,169.63309671766078,4.818287659142925,female,0.996268800756886,-1.8631345421386627,-0.9290109081972444,-0.0040910319711763,1.12700256650358,1.758121413100387,-3.287884486127052,-1.6394310144657254,-0.0072194681844288,1.9888280585357287
