frame,r_hip_ang,r_knee_ang,r_ankle_ang,r_elbow_ang,r_shoulder_ang,gender
1,159.42542874720178,172.83570858846437,130.46904841819364,139.9893625696422,21.603596924523856,male
2,160.36796087644086,172.62829446594924,127.54389121812036,139.9893625696422,21.966589420058995,male
3,163.75122534841924,164.50012837939036,118.07199757548884,143.80549572760313,20.118445474809107,male
4,167.97314497642378,160.34947126485747,116.82624024002402,147.00677961905376,19.06984705416073,male
5,173.45444316008923,161.88146729078431,109.95518925857829,148.78828801025864,17.85446852386235,male
6,173.50050189498262,161.93217495905324,105.13647769472531,150.10673451404526,16.531373086700114,male
7,179.43858132118982,162.1098065386911,107.36406908696712,150.10673451404526,17.261275368000724,male
8,179.01003925466512,162.62134838906564,114.2584121015626,150.96543990203384,17.481042598171825,male
9,174.89846912216208,168.50375006212982,113.73960269279878,149.5215262975588,18.003289698031665,male
10,172.76971682442718,176.5700688044396,122.22970663790012,150.36430345615497,15.92615824771923,male
11,170.63596045861215,175.1909998569659,131.29871686735956,151.93175953763176,11.812609993474323,male
12,171.38435181583588,175.13960222982206,131.91692595958753,151.59917408237635,11.341959178070397,male
13,169.72559837191395,173.62218567266336,131.21495528289097,152.5543880918355,10.590606013059528,male
14,171.7944754258984,175.637101305515,137.58465027513864,152.2331157584699,9.158487574540118,male
15,171.90471034209415,173.51937770315277,135.19943751206674,152.26227505130592,8.208664860649264,male
16,174.80103995297253,174.74141011179097,132.945730550161,152.21656788277576,6.146336935922136,male
17,177.61992257797553,176.86934141527644,131.68905848538856,151.66632938621257,3.791790624667669,male
18,178.00328008669285,176.22672609574363,134.32751425259104,149.9949909238788,2.471329718188485,male
19,179.34075644185535,176.73719270496338,135.57189895066176,147.87909666716237,1.3883183086308577,male
20,177.27500439659613,173.96483114546118,129.18581849914435,146.80842373102254,1.4258991985994385,male
21,176.9332678447512,173.50647468746075,135.0,144.23362302275157,1.7095853351372623,male
22,177.39354015108978,174.4251034517997,132.9934858430216,142.1516732220427,2.3475327453728028,male
23,175.44725699268272,173.50539898982652,133.1095473578349,140.14256077362157,2.6793933991579024,male
24,175.10468847877436,173.9636967882114,130.63595889174954,138.84438058361684,3.021961913066264,male
25,175.56412063440902,174.88130946803014,128.18483318842507,136.76096603909275,3.6529471905513446,male
26,175.89241871784955,174.88130946803014,125.85999920100528,136.94639599485618,3.2623033433464457,male
27,175.55188317634796,175.3247776519126,112.62565181596472,136.41848234266584,3.6028388848480404,male
28,174.99590179810528,177.14657711366354,107.04502931130384,137.5150355085769,4.050453055708601,male
29,175.2326668384923,179.878945008611,104.34544596818422,136.98208516716005,6.067755620708908,male
30,175.9335356120861,176.03733143501577,101.70053384962388,137.08065634942724,8.110317141589462,male
31,176.96284850964764,172.4426910795134,100.16734265156484,138.63566790018098,8.543590499843276,male
32,178.3434029053778,164.4898932178132,100.0353580239487,141.4265297045889,8.633749008455482,male
33,175.84092427881015,158.61636483523824,99.37075891479688,147.21851552972132,8.40911954787515,male
34,173.84775267249708,155.16687140710764,103.2291787079891,150.4935516983599,10.17776478343552,male
35,172.8495884634963,156.09298314122566,106.4897264447775,157.13228737256748,12.291482457727852,male
36,173.78571070485302,158.70948012699952,108.17010118919468,157.0800593425646,13.761111002251653,male
37,172.36217913866517,157.6309494477112,109.27352739905312,158.09177855812968,15.56980826708508,male
38,173.52718602945637,157.65245506763853,111.96986476313457,158.03256827942766,17.577183029759624,male
39,175.45334812530947,161.75514928349702,110.02466534888138,159.91966436983242,20.11313229488161,male
40,171.16582414953533,156.93046198770944,108.08891336623408,160.6319108624837,22.85400550769623,male
41,162.46436214629122,153.7808151711681,117.60819481839113,160.3589235635097,24.8553985383644,male
42,164.25458645752045,165.490302601105,123.54412231962536,161.78366044391802,26.20045971894297,male
43,164.36568375443795,170.25061468426378,122.65795135513444,161.96832555165398,28.506537567992385,male
44,168.66025530599472,178.82203830796476,119.03392601958654,164.02227014115914,29.552388973349764,male
45,171.2891469934837,174.18551110617963,116.94078096184948,166.66964317907048,30.85038788443484,male
46,171.81565028382266,173.1065051070084,117.02113479052475,170.58799155462043,30.291493000136768,male
47,171.0760115563686,177.35958966064285,114.02193155844776,168.0025135007639,30.839183214207765,male
48,171.29466195577223,178.66283257397944,111.52037073666968,167.22628493860034,30.77797190741643,male
49,172.53004093268194,177.43244000299933,107.13874232034112,165.7716079679077,32.29439003621451,male
50,172.61395684873276,177.44099768230055,112.33476288394122,165.70974913858976,31.757943263303787,male
51,172.76394545772018,176.71579553640356,116.8141036838376,164.69863773998338,31.538589660134164,male
52,172.88321225645785,173.5667715413798,114.58982817597342,163.2447527412284,29.778495713451093,male
53,176.08842818747135,175.25706513147065,115.3841249482493,166.099850764279,26.88722611723057,male
54,175.7813197650316,176.0740083362454,113.50413251657776,168.03959843041355,21.80717945405769,male
55,179.62679897793407,178.8643861670426,114.61301372505034,169.83035842343014,17.498032918560398,male
56,179.13690516172448,178.09004901584416,114.1782724058056,167.73246036433696,13.165410836480248,male
57,179.04511222025127,179.67006291350577,111.89195055852574,165.47458353423158,8.754121524538732,male
58,178.23836133870165,179.64914229431753,108.218071721311,164.16100575900478,6.4910011554486005,male
59,176.57446761462072,178.26144940573354,104.76935763529345,166.29663254833866,2.899897778921684,male
60,174.00590705089152,173.6774932277593,102.62783246280628,162.01377234519512,0.1627394077343638,male
61,175.30140142154724,167.64281436498433,101.05194313098627,157.2593515348323,2.3567241440985702,male
62,171.6280014879055,175.30528552957227,104.80686252475029,158.14011799458,5.551235675331331,male
63,175.20796595306803,171.2147012821154,116.1171968980401,153.54527432106238,7.527411209704651,male
64,170.53571224207764,174.7991407699653,112.33603050712291,148.92795673931565,8.941323750864528,male
65,168.9441877324772,176.8762862304486,106.78423049499932,147.064630197979,12.422015941783789,male
66,167.87784033098552,179.03092276714577,102.86788855046706,143.8340763969031,13.803817125013392,male
67,165.31673657749522,179.75416840610316,101.18537662781296,144.87059876205063,16.593180891924302,male
68,163.74499247471374,177.76893220238867,92.97177607004318,144.43059594008085,16.501361359982347,male
69,162.27337735015468,174.44272483896282,88.45832068792672,147.0565051063938,18.61619083877377,male
70,161.457239885624,179.66397039098732,132.1121194907881,146.9376668592964,16.999436176550205,male
71,167.83351796552986,166.95078748242747,90.48630899022378,147.16148781560284,18.99014150058866,male
72,167.84106093369678,178.94130265205598,116.43365790415484,148.07357499819776,17.019937659477787,male
73,165.62687381524088,159.34052512907135,77.52146667087274,152.30282499741853,16.932894970904947,male
74,167.50742595270822,173.25361051245457,111.40022831587412,150.7871335279397,15.052821676422942,male
75,163.98635379344083,151.1577222658333,116.16570206727468,152.17275229272855,11.71512925141492,male
76,178.05191499348504,130.2752908827924,82.33628223590144,154.07795569961553,8.943319313353626,male
77,177.47748950392307,170.22371522785707,116.58600793529232,153.2474019329716,4.502095012577314,male
78,176.9720628982022,164.55087827025358,106.14000470587112,153.58202632105872,2.3584008738101634,male
79,172.63660115263636,159.3914371488713,101.98641146069018,152.25045749931238,0.3870738307668375,male
80,172.91966894526462,154.8872854390016,96.9003281692773,154.96777039284626,1.9815412504659664,male
81,179.71671044440322,168.66525341773774,102.11285429040684,161.03228346089372,3.0675170582889564,male
82,176.78545218320536,164.76724062439766,107.99405238391388,159.35673268524687,10.25020570474038,male
83,170.0288395874386,161.36211538043003,113.549968076938,164.1032771614095,12.126348657459175,male
84,168.33095898851403,163.74537960760347,125.10449073738194,163.7214864422852,16.57365984345347,male
85,165.08655821904435,166.3846431158812,123.96151417849649,166.9245200926579,17.844512936883746,male
86,163.57754724934074,173.79328682336367,126.17962044797896,168.10388070320394,19.40800917715086,male
87,161.07152103841085,175.7881465099114,127.34827681616538,165.51023740611555,22.126334809373304,male
88,159.40262789516134,176.54877062435918,125.40888056933667,166.01306913495128,22.79851417648905,male
89,160.9967618109711,177.2743737930174,117.32144521780998,165.97129247567247,23.986718622956744,male
90,163.07665472002964,176.3121801408997,118.27623752920206,166.4375842441265,24.42898488487145,male
91,165.87607953189791,173.12837856689126,120.85734882482224,163.5001531629176,26.50331356070916,male
92,166.34099928078876,170.47441509849608,119.82772849238545,164.68718163919368,24.61759070144961,male
93,172.27185234119358,173.8055987270093,121.47927275636997,166.94508681758276,21.49482747695214,male
94,175.1460186897889,176.84063161369735,119.64558195179868,163.2390958572956,19.936732601762685,male
95,178.4525556537718,176.17640068299602,121.3346071262366,161.8068040863461,14.181894961012972,male
96,179.71129260627922,179.9002084163304,117.15025217779343,159.5691912575012,12.654211695580898,male
97,179.98928600274033,176.22825311923384,115.23631443846776,161.30070749504085,6.633931201408586,male
98,177.16883484270667,169.5741914741152,110.80679101271124,162.3993967526248,0.5354589855645314,male
99,179.8530810906252,167.17037274406084,103.98557333051784,156.25075597720146,1.1972561324666586,male
100,179.6541652969326,163.93416119088545,97.54307597405672,156.0158162973738,3.3797393281622194,male
101,179.9109182944445,161.55806132966688,95.61374776689316,158.0499751952007,8.823668629044429,male
102,178.31840989538833,162.9800413338199,99.34002617280532,160.3352769921993,13.553906756914214,male
103,179.95058916390346,159.73937206861658,101.65959067633416,159.322237394062,15.015739478331549,male
104,176.74826407119787,164.81013987816897,100.808539444902,159.21977705717347,18.12440563341611,male
105,177.96023391392217,159.29538796739132,104.23133548997356,162.22218921115555,20.829954339794355,male
106,175.67003579920018,168.9599749853847,107.5924245621816,160.72272043870242,21.309873374328976,male
107,172.48203239011153,170.53767779197435,105.83974922376296,153.22420531154066,17.96393412102204,male
108,169.7101376410871,171.73196873675963,103.67822942037202,140.9775049822997,11.00629818552414,male
109,165.35993844230185,173.2497025411118,101.38861380263428,136.29895314177955,6.770282573598387,male
110,164.5197327588149,167.3620815850296,95.59064583820972,138.6529680912593,7.209052842643882,male
111,162.97264323889078,163.382979639729,89.72142983646972,144.53006042239036,9.65061460779163,male
112,175.55717497203807,157.25749703135506,131.53263698209864,146.63643869725246,9.38454695181525,male
113,174.58739119144917,173.75795782955254,120.36739534399742,146.28454666287098,7.871775305897431,male
114,173.82420816864024,170.14523771726186,119.55527188680648,149.78161064432285,8.169946422498882,male
115,179.24796026933492,172.33208347954226,127.4545281665492,154.12689319509667,7.607821161967324,male
116,179.93154629360626,174.16238992081114,122.75190935635857,156.95922581828864,7.453355330672516,male
117,179.7882425393557,178.8092574081707,118.98024994296505,164.61242275675485,8.719209057669111,male
118,176.7644735976645,169.7052030715039,108.57416957270284,166.8379634230148,8.33053654732724,male
119,176.90601914610835,156.23082198353742,107.278720635127,166.47723714854197,7.037325396698107,male
120,175.50960750466132,149.7721850830816,141.82169273467275,164.09454538191574,5.634884015072666,male
121,176.90808833850554,154.99026819589872,117.01266534793854,162.0302599394441,4.392423021464031,male
122,177.86767635268228,161.83331900557144,106.47200066018844,161.4934016360442,3.5606829008996392,male
123,177.37806334982594,163.30815609052453,106.89084209387848,162.74139057777202,3.427834362357695,male
124,178.46442668730987,168.38705356552373,107.57672923877936,159.46614524387445,1.1349100568979793,male
125,179.0540018146775,171.11318974515862,108.36165717180336,162.48750270774792,2.097517079286305,male
126,179.62601575722437,173.33794739762538,109.89556432282954,162.49525062495275,0.9036797647358884,male
127,179.0177500141106,174.71875937155488,109.05770451012832,163.1058327320464,1.1679173568379675,male
128,178.84558133861856,175.2363583092738,108.75865034784223,161.77166874159943,0.8275192953751981,male
129,177.89601448218272,175.76151974634817,108.01054340356052,163.07504116276235,0.8275192953751981,male
130,176.06463925622094,177.20934658918273,108.01054340356052,164.4049316874887,0.4439709122479749,male
131,175.1186568111642,178.15844954943233,106.75461871157816,166.03159783909027,1.1297992359376556,male
132,175.80246278387187,177.32769871300326,105.34330802695874,164.06935638685178,0.5310899977953943,male
133,175.67374742912278,177.7954133818658,105.33395055856028,166.8177004182595,2.699716057962448,male
134,175.5529905827753,178.25542019585905,105.60426404123386,166.21255455123472,2.4433172212368643,male
135,176.77191430436486,176.93153254816528,104.7498802701868,165.13349312857915,2.5148267534049284,male
136,177.1174817637871,176.93153254816528,105.03899276198948,164.53148048866927,2.2583815729173446,male
137,176.6247906041031,177.41685088190778,104.09909729894132,163.88216751108516,2.2351942898800456,male
138,176.16273788267236,177.86308914624274,104.08328284184552,163.88216751108516,2.2351942898800456,male
139,176.07341428308243,178.33726006133895,102.87398273251452,163.2215802561945,1.943639893399878,male
140,176.07341428308243,177.91355207818734,102.45027474936288,161.97989671578898,1.3453216347893802,male
1,178.0782082227061,174.30676542718098,103.88859569859046,100.40055202482108,8.557112533066459,male
2,174.54867871378514,174.92250993109178,101.88865803962798,113.44228402680493,8.983165169387462,male
3,175.1670644551814,173.01813641653683,100.96338964632965,119.97194957027556,8.632393280508381,male
4,174.64988330775302,173.5678267951606,101.02345596374316,122.56794743126908,9.371441635465883,male
5,175.37619083288894,173.11024410254896,100.56587327113152,122.41114083786157,10.769505861673338,male
6,176.1036730590328,172.19815691995402,99.65378608853656,121.75593806086128,12.146893530355442,male
7,175.97830113844242,172.68763798000035,99.65378608853656,121.52898803775344,12.479143653823428,male
8,176.34261672521097,171.780014154019,99.06986378747544,120.67728002179643,13.498515034423406,male
9,176.20615783022026,171.81727428312124,98.95269885437284,121.33495228928923,13.980052790112724,male
10,177.91186821790058,169.49033845218028,97.951053626017,122.51241226899828,14.103428919676446,male
11,177.9105334851538,169.05215785637236,97.86327381125749,123.0104692133377,14.096322907122897,male
12,178.89829388479365,166.73351915341627,95.51155237586184,125.48865467708116,14.096322907122897,male
13,179.3808834653693,164.92736207738668,94.55070087642142,128.45491791192578,14.103428919676446,male
14,177.46089398375003,157.16634582208243,95.52754015165618,134.67212220639033,13.308937327245587,male
15,177.34597203991396,156.2402476736794,97.69050141887467,139.49605791242283,13.680512596531289,male
16,176.0035857533166,154.65092450342,100.40583992746356,143.9552390841351,14.154865761743736,male
17,175.9534582249751,157.16634582208246,100.16803942960476,151.09617848086236,13.451774749036645,male
18,177.91441310970802,163.68575224503692,109.2384407203234,152.8062137920587,15.017142078760344,male
19,174.3266693754246,158.37538005963742,109.67514044250926,153.0063100902199,17.857680905557572,male
20,179.27353874186406,168.02967839508753,112.25278012800328,153.19061862160794,20.42584941418784,male
21,174.3445129491563,166.35340057565713,117.63996114124976,153.98542783750662,23.44488813716606,male
22,170.74790152327105,168.1050062094772,123.74985440464168,156.94904849490845,24.206564340852594,male
23,173.3903664132616,171.64066481000316,123.26691584358775,158.2896485361579,24.25577661983982,male
24,173.38888210000957,177.0866634184482,125.07903910682836,158.4064380794593,25.96364800743038,male
25,170.6206549671468,178.0070349351452,127.45164629279604,160.09625046269218,25.335276992199283,male
26,171.1774748581116,178.29847744598405,118.0013569953862,165.41345903067943,25.94730443046018,male
27,170.5681434641367,179.86272376189604,116.25331012246362,167.49107457668634,26.158353201568215,male
28,169.48878546339566,177.1834050415499,111.90799398636948,166.20051460398062,26.82198120158148,male
29,170.99983627171693,176.23437141643558,112.50738810094133,167.48894741253395,25.23100977474121,male
30,171.36047499423083,174.2928850255212,113.16495965495147,163.96725339041225,26.7226190975224,male
31,174.26713630686746,175.95551442581888,116.67185086931858,166.1719064501518,24.89850625875141,male
32,178.4092144739769,179.7020574091829,119.1114109154326,164.33951298605442,24.408521858942777,male
33,179.7823981847944,179.85108636161428,118.68787397423048,164.22555844926308,22.499684130577748,male
34,179.11363812003017,179.76136276975834,119.02227014115914,167.05881413401218,20.081977484180754,male
35,178.15593280444574,177.06901543441563,121.47974860162589,164.03115425883954,20.18885750986408,male
36,178.65695075463975,179.7632419280929,117.36165470255948,160.3282677308329,17.051558191752633,male
37,177.50251174087697,178.94800152200335,113.90404379303396,158.27754425509602,13.582547506963351,male
38,178.76033850812203,175.67832791427182,105.57058496762724,159.52901738103682,7.342663087457311,male
39,178.89460785019247,172.53564993159927,101.45709596764308,160.8815401316984,3.969229777568785,male
40,179.00230972697022,172.03375430736017,102.0010611993074,158.077052255533,0.6515725787123869,male
41,173.54118362128133,175.2363583092738,105.51891739819042,153.94073275576923,1.5768943318161373,male
42,173.6558469861544,174.43503950221518,106.97876392429512,152.2779448739577,2.2510950010533404,male
43,170.79814486709742,177.44707346267845,102.35969372047332,151.60001367939148,5.954107431165017,male
44,171.4760810363576,178.6872486399489,105.920986443896,151.0154396062657,9.281431250869346,male
45,172.47432317204556,179.04693192663495,110.96571184055742,154.32632467329776,10.151751897873403,male
46,171.76316264523106,178.83162044466795,114.5733600483114,151.48743320131192,11.386823094850705,male
47,170.3744409087413,178.477531818597,117.01018146275725,151.64503821467594,13.645283312859082,male
48,167.5080766615351,179.00012800214924,110.03163027200192,151.4293014515334,14.650501135859544,male
49,168.66863251780916,178.3116394587272,106.06103047585069,151.5956999081376,16.39101676301668,male
50,164.2573723676377,178.60713481650467,107.69189093325085,152.2120091925707,18.55611952227629,male
51,164.5963729539376,176.8163876476337,103.70413959428213,152.62650856538357,19.327563664802707,male
52,161.3447897748157,173.37568308549066,98.69496276902268,150.75058043504316,16.790902918676203,male
53,176.2759806451934,163.16376110700602,129.0455186706791,153.22507511135444,15.853232921565237,male
54,165.49683674357826,170.6298867425846,98.2434469728943,153.45423383717628,15.021479957122809,male
55,168.73516215073255,153.79086889506252,85.89000203872521,152.54441256956144,11.964367988840566,male
56,178.6748611703808,166.07578687922154,132.1212916058381,152.2423159277174,8.42621101045352,male
57,172.53433479180512,147.83684656655134,124.80335287002698,153.44301637841826,8.889217804454594,male
58,176.28446157544312,153.87695607405627,124.8199737672969,155.8806171184591,7.616609368685164,male
59,177.79937975434746,176.2793570494848,129.9134512353926,157.7660521954888,5.718189472555494,male
60,177.25903527462435,174.81655501049855,123.16635469383934,156.32026712234332,3.680571904535229,male
61,176.4337326754892,171.41526787109714,118.23045048072002,155.85561435040276,1.5479247438504986,male
62,176.4337326754892,165.85540347904637,104.05364867855891,159.35556953696883,0.2273630109905633,male
63,175.6012946450045,159.22774531795417,101.07020257793936,159.67751089498873,0.8787007279116779,male
64,175.66744734963254,157.18657619122223,103.5341876248283,158.21738329630745,8.167607504525847,male
65,171.31999044207288,160.2014748775107,111.37570822019867,162.0625745509189,8.85768438010524,male
66,172.8063492658965,173.3976370306865,121.58278707620524,159.9967189086827,10.268585542980134,male
67,168.67966335331167,177.20831229355403,126.93090621064682,160.59956682110104,12.820333085548723,male
68,169.12346326937646,174.4038674569788,125.5933227529642,158.38948318467098,15.140003219836558,male
69,167.59315194030282,178.7489117361965,126.01136514505588,159.22320732595418,15.780663708138718,male
70,167.39567539678924,177.15079519255644,122.488859814036,158.10264647161404,17.771424114939407,male
71,164.3603516373577,177.33428963218847,117.60699091398642,157.11706254886127,20.45916610702517,male
72,168.51983296980845,175.10398391226008,120.51110136129375,158.3691131634821,21.28943808065179,male
73,168.58031206703387,176.4774783177342,119.77625260556584,158.2068026075454,21.3657927523829,male
74,167.8553821641671,176.39678126466308,117.530126169623,164.61073634831345,18.742427545915973,male
75,173.48321897627227,177.03898153757157,122.90524292298792,162.75494895213745,17.658715740851335,male
76,175.0210733230777,160.04294848553278,112.5918500227844,160.983477572526,14.835307645307182,male
77,176.20786121977767,176.98521400335989,122.08973468120637,157.99887119137085,16.2678270069124,male
78,175.69097208666497,177.71666646478764,119.98066506681884,155.83126755188616,14.66584207633673,male
79,179.9742751035299,179.62710871506968,118.23585318854086,154.17825784866804,13.477752653541302,male
80,177.82111053749287,174.68483673895105,122.57049163599204,154.48819971859663,13.00296885265135,male
81,177.93280233374142,178.5965386066745,117.69968312722598,155.3113045912044,9.928470577237078,male
82,179.49913146683753,176.59223922524757,113.41946566987386,162.0887640092185,3.167218238158796,male
83,178.85474602793363,172.01941278816517,107.45562916858252,157.8514796843064,0.4793081573782274,male
84,178.25754247372765,167.06757687679732,102.04697609666714,155.8720048630697,0.8908659063623557,male
85,177.47050579516224,163.61819202031197,97.56916078201374,156.8895567699047,2.821379079149004,male
86,178.7987683095534,163.03134186050454,96.55565660994036,161.30768837339744,11.159550195948626,male
87,178.04270081951148,162.2880538565986,102.14062120931176,161.20591870878224,14.06811899313618,male
88,177.92043648901182,162.6419659555546,105.49648970071964,161.83852499317456,17.563005701022547,male
89,178.71758874098128,162.67950469510225,104.42485680743027,161.28936178628868,18.87289163621797,male
90,178.49825442494355,160.26794630567497,100.83327309226708,161.41239848451343,20.16356507325678,male
91,178.79427655610175,165.4765985374815,102.48157210041818,163.03961689212207,21.681440668976094,male
92,179.46357922058053,159.8013279352871,95.08802437070604,161.99583839408663,20.753432840345333,male
93,173.7893989048255,164.57946517148042,94.87970923406628,163.58401279618195,20.97870776423884,male
94,171.043906911814,168.981735641401,97.17490837005064,162.67021625733085,21.344781865414625,male
95,170.3540052228863,165.34116733761476,94.43309278391224,158.75201040824192,18.90462507065353,male
96,169.3684384414083,163.9411063950843,92.51968105169814,154.7806487796818,16.496786491775424,male
97,169.79278858004434,157.31767482019004,87.7835378799652,154.7806487796818,15.456687631920692,male
98,173.51898323689952,142.26124203354465,82.93852205534108,161.77441362959289,15.971805569259049,male
99,178.6911318068801,170.43277431702433,136.21190833590578,163.88382920386485,14.4434349067798,male
100,179.54604608617169,165.21020547041317,115.83988726163524,163.28998487046394,12.33133185443153,male
101,176.7181822636719,178.05811926805865,127.43100507613242,165.3043564053799,12.57104738167754,male
102,173.24132879911943,147.08815846141152,104.06781138732896,164.68852313085273,11.579875256480433,male
103,175.03489510279115,171.51098365538283,129.0154145492725,164.36758622695183,11.109631746845,male
104,175.58518675127277,147.51688847081437,138.19980240168815,163.75565844578,9.485798070276806,male
105,173.21997866286807,138.546635476798,121.52162543441268,164.14648307662844,9.856436857439697,male
106,174.58511262315008,151.3673750110591,117.08869176453238,163.77029726284198,8.665467823378405,male
107,176.0531249418475,162.3917621683931,112.92205836211257,164.29896868287776,8.123882664697874,male
108,177.83482675101132,169.29360713771013,112.47943439710312,162.7232054679967,6.204745461209021,male
109,179.24732948749738,172.94660002261836,108.87901129872712,161.39752013547613,5.151375867498162,male
110,179.9539343742982,172.97046000715514,108.302012218048,162.1693792087228,4.219198211063289,male
111,178.25441427302815,173.61339251489932,109.20467151947976,159.98545177095576,2.2965577307904854,male
112,178.5837519983016,173.17378228805842,112.87233589789602,159.3330121446252,1.9734558297334004,male
113,176.6020319634748,176.56421995007528,114.73878466277516,160.36144260279326,2.011944885670657,male
114,177.14587033686183,176.0583792695429,114.69996638991164,160.9165296716965,2.6050296474286,male
115,176.6400296563295,176.5570606624063,113.36506068524032,162.23554676758806,3.2481109914598165,male
116,176.07802688810136,176.172143222527,110.72475803560604,160.9165296716965,2.567031954573918,male
117,175.75051750789888,175.7179964541959,109.34232921000331,160.60128784854604,2.2395225743714278,male
118,176.11602458095604,174.81061606711464,108.070675387269,160.9165296716965,2.6050296474286,male
119,175.93112477052253,174.87271566924522,107.26481475935066,159.242853636013,2.290104481234222,male
120,176.81512490528632,173.93689195514744,105.0399377686542,158.01369804635758,2.0945234158753165,male
121,175.9798956071188,173.99037474918404,103.60157354246566,157.55619349380768,1.6785168497270972,male
122,176.33323555790628,173.51630383909125,103.11440046486445,156.89484377470166,2.044958968023012,male
123,176.20211582987432,174.01428953385286,103.11440046486445,157.55619349380768,2.411824934752669,male
124,175.2057679333694,175.0106374303578,102.11336639941018,157.2816922209108,1.7627144315327852,male
125,174.71185103475062,175.50455432897655,102.11336639941018,159.62402779358612,2.411824934752669,male
126,175.2057679333694,174.6022512235196,101.70498019257198,161.40418371158734,3.5160451008936016,male
127,176.0469788333947,173.6528524558921,102.25919715711976,162.0883103899697,3.854674334197888,male
128,175.54439716667366,174.15543412261312,102.25919715711976,163.73844135767644,4.483962169825214,male
129,175.04181549995263,174.65801578933414,101.25816309166552,163.64069091471663,4.386211726865366,male
130,175.4118015533041,174.65801578933414,101.25816309166552,162.2430760878293,4.044485574181099,male
131,173.6983321745944,175.6168093425709,101.21210255284826,162.2430760878293,3.335870287525376,male
132,174.07869476125404,175.556917491785,101.16531286957084,162.65924407707524,3.792237601419669,male
133,173.71143434210285,175.10383827661954,100.7122336544054,162.65924407707524,3.4249771822684685,male
134,174.57668045601568,174.15357448387397,100.25995555642145,161.98726931574242,3.792237601419669,male
135,174.07869476125404,174.14195423137417,100.43150908280016,162.65924407707524,3.792237601419669,male
136,174.07869476125404,174.14195423137417,100.43150908280016,163.1861970907314,4.319190615075805,male
137,174.07869476125404,174.14195423137417,100.43150908280016,163.1861970907314,4.319190615075805,male
138,173.21367436040293,174.6397142130741,100.75138367461427,161.89816242099934,3.335870287525376,male
139,173.21367436040293,174.6397142130741,100.75138367461427,161.89816242099934,3.335870287525376,male
140,173.21367436040293,174.1856927437307,99.97748761345676,161.89816242099934,3.335870287525376,male
141,173.1998490620082,174.10585845909145,99.91481289090204,162.65924407707524,3.3939923217892627,male
142,173.68044948162364,173.2348956113877,99.84432505462782,162.65924407707524,3.3939923217892627,male
143,173.31123750099866,172.78289603931617,99.39232548255626,162.65924407707524,3.0247803411642566,male
1,176.27937811635698,179.76350344499562,112.52197281704623,150.63455540447674,7.07486211132948,male
2,173.01732890170763,179.13139608781148,108.72862732736176,150.8742853005576,9.362993010747232,male
3,171.66683778892823,177.90053178083738,107.04256951406016,150.90865751310957,10.037749691643851,male
4,171.68880702846243,177.90053178083738,106.16165825723992,151.1483316975708,10.01578045210971,male
5,172.12120883739004,177.05852165053204,105.73032641860432,150.5837948527353,9.994056934851812,male
6,172.56686463941278,176.18232573239908,104.05372768450708,150.20173152842668,10.06024888728166,male
7,172.58150462653393,176.64095201268765,104.1413700584416,150.26792348085652,9.95133078355235,male
8,173.03108230091766,175.70459379613578,102.9992985421364,149.71720209031636,9.95133078355235,male
9,173.03108230091766,176.13834112006907,103.11980168352524,150.87763927846237,9.341614985946537,male
10,172.1323709338782,177.52141754397894,102.75790953133628,148.91883878731343,9.95133078355235,male
11,172.58834652786933,176.6128658485093,100.9152280693533,149.52855458491928,9.362859248789448,male
12,172.1426907258466,177.11076305799543,100.70135072389914,149.32978138441297,9.304414067245204,male
13,172.1305623987225,177.02744457194171,101.47148029643397,148.74175424681263,9.406064654503894,male
14,172.25069582146014,176.15467333130616,100.48468795324308,150.1254904637945,9.170362932745718,male
15,172.57279352324784,175.72497124201917,100.05498586395608,148.68205043426445,9.465768467052044,male
