id,frame,r_hip_ang,r_knee_ang,r_ankle_ang,r_elbow_ang,r_shoulder_ang,gender,age,r_hip_vel,r_knee_vel,r_ankle_vel,r_elbow_vel,r_shoulder_vel,r_hip_accel,r_knee_accel,r_ankle_accel,r_elbow_accel,r_shoulder_accel,r_hip_ang_2,r_knee_ang_2,r_ankle_ang_2,r_elbow_ang_2,r_shoulder_ang_2,r_hip_ang_3,r_knee_ang_3,r_ankle_ang_3,r_elbow_ang_3,r_shoulder_ang_3,r_hip_vel_2,r_knee_vel_2,r_ankle_vel_2,r_elbow_vel_2,r_shoulder_vel_2,r_hip_vel_3,r_knee_vel_3,r_ankle_vel_3,r_elbow_vel_3,r_shoulder_vel_3,r_hip_accel_2,r_knee_accel_2,r_ankle_accel_2,r_elbow_accel_2,r_shoulder_accel_2,r_hip_accel_3,r_knee_accel_3,r_ankle_accel_3,r_elbow_accel_3,r_shoulder_accel_3
4,1,178.17426274048256,179.4065319073663,109.010766416167,158.68037075698757,1.2404129766271634,female,>40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,178.34738990557506,178.34830581745277,107.3705276686444,159.33787161509207,1.5307287537801084,female,>40,2.596907476387429,-15.873391348702768,-24.603581212839032,9.862512871567477,4.354736657294175,38.95361214581144,-238.10087023054152,-369.0537181925855,147.93769307351212,65.32104985941262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,178.53119928561418,177.27368900609372,105.70863782901574,159.99467942459742,1.820441964105996,female,>40,1.8380938003912208,-10.7461681135905,-16.618898396286568,6.568078095053522,2.897132103258875,18.38093800391221,-107.461681135905,-166.18898396286568,65.68078095053522,28.971321032588747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,177.2517442448185,177.8450282560204,104.58086903442135,159.32675370391368,1.0866445167260128,female,>40,-9.595912805967616,4.285044374450209,-8.458265959457911,-5.009442905128054,-5.503480855349873,-71.96934604475712,32.137832808376565,-63.43699469593434,-37.57082178846041,-41.27610641512405,178.17426274048256,179.4065319073663,109.010766416167,158.68037075698757,1.2404129766271634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,175.9542039506777,178.41578956923345,104.60607171578752,160.65248956376337,1.0831307969174466,female,>40,-7.785241764844727,3.424567879278243,0.1512160881970032,7.954415159098119,-0.0210823188513971,-46.71145058906836,20.547407275669457,0.9072965291820196,47.72649095458871,-0.1264939131083826,178.34738990557506,178.34830581745277,107.3705276686444,159.33787161509207,1.5307287537801084,0.0,0.0,0.0,0.0,0.0,2.596907476387429,-15.873391348702768,-24.603581212839032,9.862512871567477,4.354736657294175,0.0,0.0,0.0,0.0,0.0,38.95361214581144,-238.10087023054152,-369.0537181925855,147.93769307351212,65.32104985941262,0.0,0.0,0.0,0.0,0.0
4,6,175.60691810030238,177.8817299074706,103.71802674635506,161.26813053005463,1.351485912833378,female,>40,-1.736429251876643,-2.670298308814268,-4.440224847162284,3.0782048314563326,1.341775579579657,-8.682146259383217,-13.351491544071337,-22.20112423581142,15.391024157281665,6.708877897898285,178.53119928561418,177.27368900609372,105.70863782901574,159.99467942459742,1.820441964105996,0.0,0.0,0.0,0.0,0.0,1.8380938003912208,-10.7461681135905,-16.618898396286568,6.568078095053522,2.897132103258875,0.0,0.0,0.0,0.0,0.0,18.38093800391221,-107.461681135905,-166.18898396286568,65.68078095053522,28.971321032588747,0.0,0.0,0.0,0.0,0.0
4,7,174.67203697193202,178.3968767455146,104.82077164009706,162.2509132444301,1.0164662579209582,female,>40,-4.00663340730156,2.207772163045669,4.726049544608567,4.2119259187520335,-1.4357985210532278,-17.171286031292397,9.461880698767152,20.25449804832243,18.051111080365857,-6.153422233085262,177.2517442448185,177.8450282560204,104.58086903442135,159.32675370391368,1.0866445167260128,178.17426274048256,179.4065319073663,109.010766416167,158.68037075698757,1.2404129766271634,-9.595912805967616,4.285044374450209,-8.458265959457911,-5.009442905128054,-5.503480855349873,0.0,0.0,0.0,0.0,0.0,-71.96934604475712,32.137832808376565,-63.43699469593434,-37.57082178846041,-41.27610641512405,0.0,0.0,0.0,0.0,0.0
4,8,174.31950772154732,177.84294820649183,105.40081031864916,164.4909039673577,1.317359063251484,female,>40,-1.3219846889425924,-2.0772320213353623,2.1751450445703746,8.39996521097845,1.1283480199894715,-4.957442583534721,-7.789620080007609,8.156793917138906,31.49986954116919,4.231305074960519,175.9542039506777,178.41578956923345,104.60607171578752,160.65248956376337,1.0831307969174466,178.34738990557506,178.34830581745277,107.3705276686444,159.33787161509207,1.5307287537801084,-7.785241764844727,3.424567879278243,0.1512160881970032,7.954415159098119,-0.0210823188513971,2.596907476387429,-15.873391348702768,-24.603581212839032,9.862512871567477,4.354736657294175,-46.71145058906836,20.547407275669457,0.9072965291820196,47.72649095458871,-0.1264939131083826,38.95361214581144,-238.10087023054152,-369.0537181925855,147.93769307351212,65.32104985941262
4,9,174.88566474056913,176.76489666679507,104.48385763878704,166.7209078440793,2.0106810894709093,female,>40,1.887190063406005,-3.5935051323225293,-3.056508932873736,7.433346255738703,2.3110734207314176,6.290633544686684,-11.9783504410751,-10.18836310957912,24.777820852462344,7.703578069104726,175.60691810030238,177.8817299074706,103.71802674635506,161.26813053005463,1.351485912833378,178.53119928561418,177.27368900609372,105.70863782901574,159.99467942459742,1.820441964105996,-1.736429251876643,-2.670298308814268,-4.440224847162284,3.0782048314563326,1.341775579579657,1.8380938003912208,-10.7461681135905,-16.618898396286568,6.568078095053522,2.897132103258875,-8.682146259383217,-13.351491544071337,-22.20112423581142,15.391024157281665,6.708877897898285,18.38093800391221,-107.461681135905,-166.18898396286568,65.68078095053522,28.971321032588747
4,10,173.96702536323838,177.82780528212066,105.02168745149108,166.7209078440793,1.6171205147617067,female,>40,-2.755918131992246,3.1887258459767907,1.6134894381120972,0.0,-1.1806817241276075,-8.267754395976738,9.566177537930372,4.840468314336292,0.0,-3.5420451723828235,174.67203697193202,178.3968767455146,104.82077164009706,162.2509132444301,1.0164662579209582,177.2517442448185,177.8450282560204,104.58086903442135,159.32675370391368,1.0866445167260128,-4.00663340730156,2.207772163045669,4.726049544608567,4.2119259187520335,-1.4357985210532278,-9.595912805967616,4.285044374450209,-8.458265959457911,-5.009442905128054,-5.503480855349873,-17.171286031292397,9.461880698767152,20.25449804832243,18.051111080365857,-6.153422233085262,-71.96934604475712,32.137832808376565,-63.43699469593434,-37.57082178846041,-41.27610641512405
4,11,173.6146276621748,177.23416526534828,105.52819010800914,168.27277133933237,1.2498600956105064,female,>40,-0.9610846392643102,-1.6190182275610452,1.381370881412907,4.232354987053798,-1.0016193249578191,-2.621139925266301,-4.415504256984669,3.7673751311261103,11.54278632832854,-2.73168906806678,174.31950772154732,177.84294820649183,105.40081031864916,164.4909039673577,1.317359063251484,175.9542039506777,178.41578956923345,104.60607171578752,160.65248956376337,1.0831307969174466,-1.3219846889425924,-2.0772320213353623,2.1751450445703746,8.39996521097845,1.1283480199894715,-7.785241764844727,3.424567879278243,0.1512160881970032,7.954415159098119,-0.0210823188513971,-4.957442583534721,-7.789620080007609,8.156793917138906,31.49986954116919,4.231305074960519,-46.71145058906836,20.547407275669457,0.9072965291820196,47.72649095458871,-0.1264939131083826
