frame,r_hip_ang,r_knee_ang,r_ankle_ang,r_elbow_ang,r_shoulder_ang
1,178.79550781479188,158.2577090957771,91.1688520086009,160.30797876126346,22.063863428525735
2,176.4812157735851,154.19874745272452,89.74319792698192,161.30673110810835,21.716171461910392
3,174.92274931197213,153.7140481383928,92.33944583173275,167.09180211617505,17.81377763146105
4,178.70343737026155,160.31038909024102,99.8045296276322,170.41114138216403,13.710702769267186
5,177.12778226595645,166.83402251059024,101.99622726922267,164.52634012704837,9.314974741134904
6,175.40744391206698,167.81459992727264,96.48325427660541,157.57325891124106,5.650131232377248
7,172.25983108314688,171.44348056627237,93.85637663087492,151.42511904702852,2.1589817099303446
8,171.29293798314743,172.32693729720884,91.80269528858807,139.75969352510998,2.0875739022341357
9,169.1751662708262,174.32577358533047,91.67239436108926,131.9190198942693,6.178081472401596
10,169.31163104959649,172.7045206868238,92.81121813612513,125.50214348972307,10.545774126090368
11,168.41643552509476,170.22811962711035,93.2950098951006,123.37410135669138,16.27137238763903
12,168.20246772922516,168.90073032770275,96.70283238619676,124.33412530463424,20.98192233261691
13,169.25979933725318,166.12191849071496,103.79948539601936,124.07719528013074,22.592935414495237
14,168.69006752597974,162.8300643171614,113.41110185625746,125.56231650016642,20.126747204448378
15,168.33002337844778,160.41138420459188,127.83791603590731,122.54191808342927,14.993002013817115
16,174.764568300148,142.9763506314061,125.05596530498184,130.92956727819657,9.817555449257828
17,176.82016988013578,125.08300347811812,118.69250816347113,141.00946033250057,5.491295575059498
18,166.17798738446626,119.33607622363763,114.75465584338616,161.51406117614027,5.509688950903105
19,166.50836063951684,130.30638489321953,121.9807345627927,166.53940977673182,1.7790502579027816
20,162.8942997204948,141.07839598210887,100.45263687253093,165.67917965265605,12.315775780522642
21,152.86800992574283,136.17783127465293,106.6764202624829,164.54432855755323,18.818122057698815
22,152.14960146458873,151.53405504256335,112.54306100005789,162.98307013222663,27.059101164465176
23,152.82667472498076,167.76729187451727,119.28410065530606,163.16252737432362,32.57813715874232
24,153.22523855021163,176.1444330216648,110.67613348104352,165.3585419348287,37.132310968144395
25,153.5341309686636,173.26997690448303,106.7769320943158,167.34092100341516,40.17362542778261
