frame,r_hip_ang,r_knee_ang,r_ankle_ang,r_elbow_ang,r_shoulder_ang
1,178.55362460534278,179.92093503705885,112.51931235954623,162.34442930966733,0.553079419508208
2,177.104377751208,179.87418601795622,111.6663017850849,162.34987578006988,1.2590452071752765
3,175.62225907125992,179.24615166692922,111.69298821981701,162.34987578006988,1.888188006740939
4,174.79403082492422,178.39203287580668,110.76962035296157,162.80145877993414,1.888188006740939
5,174.79403082492422,178.39203287580668,110.76962035296157,162.80145877993414,1.888188006740939
6,174.86632496048372,178.51118198240846,110.74372980817472,161.7639940564386,4.199762475634898
7,176.9438972073802,179.31619537227206,112.40983737149324,163.40457529086868,4.140125220747945
8,177.58049078334363,179.31619537227206,113.16906421916678,163.31336209792906,2.337305859123822
9,177.4120709694436,178.51118198240846,112.40983737149324,164.79461720416612,0.5325457519439311
10,177.41922310765548,178.4852914376216,113.19495476395363,163.55139187296015,0.5497437098066583
11,177.24476635357155,177.70744092244325,113.16906421916678,168.25436657471204,3.5636400626952422
12,175.88010402344918,176.99874933293432,114.80266015341746,165.91402062484963,1.812885042082769
13,175.80617361767355,177.8121253357748,115.53604481589443,164.40718906073363,0.6365935759635022
14,173.0303616553251,177.8108602394226,114.65713673303691,164.85528690164685,0.08990587926785346
15,171.5188606782511,177.78524487268075,115.34617594194668,169.79657064070463,1.6358528053502823
16,171.63258798234844,178.9205302793485,113.44624973590516,169.39738689452403,1.5860200964559112
17,169.92571094122647,176.29145169343812,112.81210327216323,170.10321141845404,2.6566377652396227
18,169.92571094122647,176.22083824692075,110.54973441671075,169.36059870123407,2.6566377652396227
19,171.3497167936962,177.92441707168268,109.6610684352448,169.36059870123407,3.2657307744133277
20,171.95253212042826,177.03575109021676,111.30216856294945,170.58658582918906,5.094533229100421
21,174.00259942608446,177.85369857907452,110.54973441671075,169.15352176186298,6.3266530458988655
22,175.43918090760758,178.67436256635713,111.30216856294945,167.74145339734258,6.9425705401394
23,176.8778695378843,179.6139156852551,110.41350258148353,167.63019959636352,7.446949602515133
24,176.89793811132387,179.6139156852551,110.41350258148353,167.74145339734258,7.57827197693382
25,177.642253264286,177.96344265429352,109.52741327692371,169.15352176186298,7.558203403494247
26,177.02662040093117,176.9684349757406,110.11295375410185,170.58658582918906,6.9425705401394
27,180.0,165.52970589993413,102.87958168000398,167.38187704049227,4.4846060095446205
28,172.23483398157467,151.0735741647464,97.01733029313084,166.26373169437744,3.366460663429791
29,167.19573393471325,143.76704112596784,96.55294656010392,167.99020941460358,3.366460663429791
30,163.59347093629611,136.64671380084332,97.94935916974697,171.27170358641766,2.16041188420985
31,161.35919171169945,138.10271606210208,103.68645672981029,170.15098548888295,0.4370032434030122
32,151.5484870953034,139.99133325752453,105.61098853367966,173.677674103063,2.7633694690492803
33,147.3194452566366,143.74311088163927,107.87140195210799,170.57264355436678,1.1017061152063676
34,145.94407088581852,150.13646516921514,111.39522328952009,168.22953409394972,2.623640387702892
35,145.81387751362496,153.94397986778094,110.8544580395783,168.8949979056956,4.316027519865621
36,145.30484646876602,162.91742431168987,115.20722121151528,170.8859630435997,2.161079488226362
37,144.80195705197553,173.8298249049704,118.41266144307258,173.75984443269036,4.7534267185553745
38,148.15820382545758,177.01210626506867,116.96571443287013,175.21228951022204,4.225493865864735
39,150.40978599851834,178.08826605585347,112.07794163788742,176.94561199938332,4.295096463385221
40,151.52579638992563,173.8844964337146,110.44954761079256,179.4673066551879,5.561375213302711
41,157.3447672913202,177.6888685472386,110.28255908891663,178.25173212169173,4.34580067980653
42,165.1618668089308,176.78613556247402,120.41005534355591,169.01840650775048,3.792234698308107
43,168.5473901653826,179.33125535399319,120.92652126224607,167.12499844038751,0.6295986084102765
44,174.20720350496782,176.46920471689415,123.2860807527162,164.7448812969422,1.2188752351312881
45,176.90937474950942,173.96508779402237,121.91763668925009,164.98163936884936,1.8529593460356677
46,179.4136471649071,167.0860592325438,126.22923671726787,165.03454404403837,0.5689694073759621
47,173.29634902703677,171.81849594356373,116.62442502060546,167.47119229084848,0.622755687206336
48,168.24723828348593,173.74710898641646,110.7490001778092,171.09233455853035,3.5316642880864606
49,174.6824058173854,167.04784898434923,106.14074386376714,169.8592068538872,0.06283807473230692
50,176.36497932628174,179.19630430601356,116.6943868028008,166.15047718027276,2.5222466585438497
51,177.33899261595596,179.87462650313685,109.46970276898429,167.58209615333385,3.131789110988109
52,174.60292607434081,179.1304430545407,106.71551682075093,178.53048865791487,7.265945831189754
53,168.21732177201642,179.00939359502212,104.94203012803715,170.0967591828205,13.387710639024817
54,167.03414614718992,178.66778014613035,103.41134298260107,174.90260026202097,12.900502941284458
55,166.02513282308274,171.24951763585048,98.81435919063591,160.53280648551228,7.945575521894511
56,168.00289221832398,161.9209210076999,98.58362148011395,157.80246823502213,2.3408507319469436
57,174.9575489308291,137.6058028223608,130.97221148199526,161.68010278853188,3.576334374997347
58,175.10090754621223,122.3357415277869,131.8702974084773,161.52039352477036,12.90740867126584
59,173.19489037389906,133.236245523338,128.56526084896325,164.48152862914546,3.18193862366644
60,178.20324647054997,132.58049078334363,118.49563861824498,169.60900853368963,0.5463836407010945
61,170.39479584498707,129.1261928441475,95.36797404077714,171.18192268527076,3.5035316447844527
62,161.14995404264454,144.12471131592443,98.14329502707807,167.753265084424,0.060285941044864316
63,153.434948822922,154.31635281950415,119.1821597625885,170.54174045803245,1.0809241866606953
64,154.6538240580533,164.95867052681933,119.9586705268193,168.96615461325212,1.06091169026422
